strategic_intelligence.n.01	preventive_medicine.n.01
brachinus.n.01	diomedeidae.n.01
stag.n.02	counterpunch.n.01
homopterous_insect.n.01	pinnotheridae.n.01
cleavage.n.05	swimming_stroke.n.01
irrigation.n.01	intensive_care.n.01
medicaid.n.01	remise.n.03
least_sandpiper.n.01	pomacentridae.n.01
line_management.n.01	reeve.n.01
menopon.n.01	stretching.n.01
long-horned_grasshopper.n.01	vixen.n.02
glyptography.n.02	stewardship.n.01
shogi.n.01	phlebotomus.n.02
thiobacteria.n.01	menticirrhus.n.01
hard_sell.n.01	mintage.n.03
panther.n.02	resettlement.n.01
aegina.n.02	follow-through.n.01
barratry.n.04	plasmodium.n.01
euglenophyceae.n.01	marabou.n.01
blacktail_prairie_dog.n.01	hessian_fly.n.01
regulus.n.02	tylenchus.n.01
bunt.n.01	triple_play.n.01
long-eared_owl.n.01	seventeen-year_locust.n.01
close-quarter_fighting.n.01	beaugregory.n.01
hill_myna.n.01	baby.n.07
xenopodidae.n.01	attribute.n.02
asian_coral_snake.n.01	brown_creeper.n.01
myadestes.n.01	emperor.n.03
parazoa.n.01	run_batted_in.n.01
yellowhammer.n.02	softball.n.02
ploceus.n.01	callorhinus.n.01
respite.n.02	conscription.n.01
furor.n.02	cryocautery.n.02
reprisal.n.01	ectopistes.n.01
purple_bacteria.n.01	underproduction.n.01
erecting.n.01	bombyliidae.n.01
hemostasis.n.01	backplate.n.01
mountain_gorilla.n.01	rental.n.02
impoundment.n.01	church_service.n.01
cannon.n.05	abscondment.n.01
gudgeon.n.02	battle_of_the_marne.n.01
vice-presidency.n.02	greco-roman_wrestling.n.01
prosimian.n.01	pilus.n.02
athletic_supporter.n.01	aphriza.n.01
carcharhinidae.n.01	ringer.n.04
momotidae.n.01	outdoor_sport.n.01
freudian_slip.n.01	endamoeba.n.01
splint_bone.n.01	money_cowrie.n.01
double_cross.n.01	archive.n.01
hesitation.n.03	aspidophoroides.n.01
secularization.n.01	robalo.n.01
amphibian.n.03	tamarisk_gerbil.n.01
armadillidiidae.n.01	greater_swiss_mountain_dog.n.01
giant_tortoise.n.01	teasing.n.02
metazoa.n.01	implantation.n.03
scouting_trip.n.01	centropomidae.n.01
forfeit.n.03	ray.n.07
sponsorship.n.01	arc_lamp.n.01
line.n.16	badminton_court.n.01
beggar-my-neighbor.n.01	suricata.n.01
canis.n.01	left_field.n.02
stratification.n.01	basketball.n.01
biological_defense.n.01	snooker.n.01
opisthognathidae.n.01	funambulism.n.01
antibiotic.n.01	tour.n.01
score.n.10	uropsilus.n.01
sceloglaux.n.01	alectis.n.01
oxyuranus.n.01	french_bulldog.n.01
genus_cicada.n.01	conversion.n.03
colostomy.n.01	once-over.n.01
trypetidae.n.01	agonus.n.01
friendly_fire.n.01	arame.n.01
party_game.n.01	coupling.n.03
leveraged_buyout.n.01	pochard.n.01
ablution.n.01	protozoa.n.01
pediculidae.n.01	artificial_kidney.n.01
civil_war.n.01	deanship.n.01
bertillon_system.n.01	haemoproteus.n.01
airfoil.n.01	blissus.n.01
black_bee.n.01	ixodes_neotomae.n.01
marmota.n.01	aircraft.n.01
ghost_dance.n.01	blind_flying.n.01
waxwing.n.01	gosling.n.01
spatter.n.02	back.n.07
rhizobium.n.01	plastron.n.05
brabancon_griffon.n.01	tree_swift.n.01
south_american_poison_toad.n.01	providence.n.02
giant_hornet.n.01	chordate_genus.n.01
escherichia_coli.n.01	vigil.n.02
tack.n.05	activity.n.01
scatophagy.n.01	dasyatis.n.01
trichoglossus.n.01	deception.n.02
radiophotography.n.01	soar.n.01
woodborer.n.01	startle_reflex.n.01
cut.n.20	sleeper.n.08
placodermi.n.01	taurotragus.n.01
breakthrough.n.02	genus_gorilla.n.01
tooth.n.04	jellyfish.n.02
ritualism.n.02	thunder_snake.n.01
little_black_ant.n.01	truck_farming.n.01
tae_kwon_do.n.01	eutamias.n.01
spotted_weakfish.n.01	regeneration.n.03
mush.n.04	siphon.n.02
fetish.n.03	bushbuck.n.01
percidae.n.01	amphetamine.n.01
american_lobster.n.02	cut-in.n.02
red_poll.n.01	president_of_the_united_states.n.02
dishonesty.n.02	chelicerata.n.01
sable.n.05	concatenation.n.04
homosexuality.n.01	atorvastatin.n.01
genus_lactobacillus.n.01	no_ball.n.01
leaf-cutting_bee.n.01	genus_corynebacterium.n.01
schizophyta.n.01	barrette.n.01
skull_session.n.02	ameiuridae.n.01
pricket.n.02	kegel_exercises.n.01
turn.n.11	abbe_condenser.n.01
agouti.n.01	dental_procedure.n.01
common_kingsnake.n.01	acanthuridae.n.01
embioptera.n.01	anaspid.n.01
covert_operation.n.01	casting_lots.n.01
exploration.n.02	band.n.10
favor.n.01	inclination.n.08
house-raising.n.01	leisure.n.02
armory.n.04	bard.n.02
tyrannus.n.01	red-legged_partridge.n.01
great_pyrenees.n.01	viceroyship.n.01
cobitidae.n.01	acidophilus.n.01
yolk_sac.n.02	psittacus.n.01
little_brown_bat.n.01	rumination.n.02
line.n.16	red_spider.n.01
tooth.n.04	rock_sea_bass.n.01
set.n.07	accessory.n.01
disservice.n.01	militainment.n.01
pickerel.n.02	timber_wolf.n.01
earless_seal.n.01	putt.n.01
apodemus.n.01	terrestrial_guidance.n.01
waste.n.05	unitization.n.04
couture.n.01	miridae.n.01
pneumococcus.n.01	artificial_flower.n.01
capital_offense.n.01	lechwe.n.01
gall_midge.n.01	areaway.n.01
hind_leg.n.01	monodontidae.n.01
jaguarundi.n.01	gerris.n.01
carabao.n.01	operation_desert_storm.n.01
fastening.n.02	genus_anhinga.n.01
hypophysectomy.n.01	adagio.n.02
boat_racing.n.01	abidance.n.03
choloepus.n.01	knife_fight.n.01
arrival.n.01	about-face.n.02
hydrochoeridae.n.01	blue_crab.n.02
barren_ground_caribou.n.01	bryozoa.n.01
acropolis.n.01	potshot.n.01
tennessee_walker.n.01	blue-headed_vireo.n.01
threskiornis.n.01	animation.n.05
ceratopsia.n.01	prohibition.n.05
phaeophyta.n.01	straight-arm.n.01
outercourse.n.01	overhand_pitch.n.01
pempheridae.n.01	geometrid.n.01
abutment_arch.n.01	blackcock.n.01
fetoscopy.n.01	resuscitation.n.01
rollback.n.02	punctilio.n.02
cabaret.n.02	giant.n.01
violin_lesson.n.01	regency.n.03
searching_fire.n.01	false_imprisonment.n.01
rhinonicteris.n.01	chile_bonito.n.01
actium.n.02	irrigation.n.01
portunidae.n.01	typography.n.01
home_game.n.01	serin.n.01
astronomy_satellite.n.01	wood_hoopoe.n.01
peneidae.n.01	german_lesson.n.01
sergeant_major.n.02	feeling.n.01
toy_dog.n.01	curve.n.03
stopping.n.02	reconciliation.n.01
genus_amphioxus.n.01	caprimulgiform_bird.n.01
battle_of_britain.n.01	finish.n.09
acetate_rayon.n.01	homeotherm.n.01
characin.n.01	barouche.n.01
optometry.n.01	lead.n.17
kingbird.n.01	stictomys.n.01
golfing.n.01	mail_call.n.01
hatchling.n.01	paper_wasp.n.01
atlantic_manta.n.01	diathermy.n.01
reshuffle.n.01	bark.n.03
dendrocolaptes.n.01	arab-israeli_war.n.01
ringlet.n.04	swordtail.n.01
case_study.n.02	massasauga.n.02
sporozoan.n.01	sponge.n.04
anabrus.n.01	blacktip_shark.n.01
hind.n.02	acetaminophen.n.01
date_rape.n.01	ribbon_snake.n.01
scarabaeidae.n.01	slave-making_ant.n.01
wallaby.n.01	sapsucker.n.01
berith.n.01	laparoscopic_cholecystectomy.n.01
bombardier_beetle.n.01	domestic_flight.n.01
substance_abuse.n.01	hypoderma.n.01
arctocebus.n.01	ascidiaceae.n.01
discrimination.n.01	pisces.n.04
scrabble.n.02	whale_louse.n.01
genus_treponema.n.01	basking_shark.n.01
chemical_defense.n.01	presumption.n.04
synchronization.n.03	rock_hopper.n.01
false_scorpion.n.01	rose-colored_starling.n.01
wingback.n.02	matrix_addition.n.01
flashlight_fish.n.01	interposition.n.02
admixture.n.02	cryptophyta.n.01
junket.n.03	escape.n.04
faith.n.04	cuculiform_bird.n.01
stroke.n.01	basic_point_defense_missile_system.n.01
lactophrys.n.01	bar_magnet.n.01
compromise_verdict.n.01	jersey.n.05
integration.n.03	skedaddle.n.01
disaster.n.03	lexicography.n.01
organization.n.04	fluff.n.03
ganoid.n.01	thomson's_gazelle.n.01
construction.n.01	cooter.n.01
piggyback.n.01	genus_allosaurus.n.01
petit_larceny.n.01	spotted_flycatcher.n.01
dendroaspis.n.01	bakke_decision.n.01
vespula.n.01	naprapathy.n.01
tribonema.n.01	somme.n.02
padda.n.01	leadership.n.01
blow.n.01	bedrest.n.01
cetorhinus.n.01	spiny_lizard.n.02
leap.n.01	rallying.n.01
subversion.n.02	disruption.n.04
vampire_bat.n.01	crayfish.n.03
edentate.n.01	bee_moth.n.01
anemometer.n.01	salmonidae.n.01
allen_screw.n.01	skeet.n.01
koala.n.01	amphidiploid.n.01
hesitation.n.03	helicidae.n.01
typography.n.01	bet.n.02
gardening.n.01	malversation.n.01
crangonidae.n.01	laricariidae.n.01
bandbox.n.01	smiledon.n.01
unitization.n.03	refund.n.02
roan.n.02	ringlet.n.04
pill_bug.n.01	placation.n.01
toilet_training.n.01	hoary_marmot.n.01
norwegian_elkhound.n.01	sacrifice.n.05
biopiracy.n.01	anode.n.01
object-oriented_programming.n.01	allocation.n.03
punt.n.03	juke.n.02
rhodymeniaceae.n.01	apartment_building.n.01
genus_appendicularia.n.01	conservancy.n.02
genus_tragopan.n.01	pocket_veto.n.01
breech_delivery.n.01	boll_weevil.n.01
elephant_bird.n.01	ocean_sunfish.n.01
fartlek.n.01	picket.n.06
pitta.n.01	accommodating_lens_implant.n.01
monal.n.01	common_starling.n.01
anamnestic_response.n.01	genus_coscoroba.n.01
vespertilio.n.01	gastropod.n.01
relay.n.01	galvanization.n.03
chalk_talk.n.01	law_enforcement.n.01
nester.n.02	masturbation.n.01
headroom.n.02	boot.n.06
clearance_sale.n.01	toke.n.01
bombyx.n.01	quitclaim.n.02
shag.n.05	endoderm.n.01
beekeeping.n.01	curettage.n.01
cymatiidae.n.01	lemon_sole.n.04
straight_ticket.n.01	american_organ.n.01
reappearance.n.02	gnatcatcher.n.01
australopithecus_robustus.n.01	search.n.02
testudinidae.n.01	hawkmoth.n.01
vitiation.n.01	academicianship.n.01
finance.n.03	gelechia.n.01
perineotomy.n.01	retaliatory_eviction.n.01
cattle.n.01	arilus.n.01
rhizobiaceae.n.01	hula.n.01
infantilism.n.02	sitta.n.01
indigo_snake.n.01	roan.n.02
warm-up.n.01	death.n.08
coxsackievirus.n.01	dory.n.03
miller's-thumb.n.01	referral.n.03
chlorination.n.02	teasing.n.02
charm_campaign.n.01	hecatomb.n.01
mammography.n.01	plastron.n.05
computerized_tomography.n.01	water_conservation.n.01
amia.n.01	concentration.n.03
lemuroidea.n.01	carnal_abuse.n.01
beat.n.10	western_fence_lizard.n.01
one-night_stand.n.01	australian_arowana.n.01
peccary.n.01	wren-tit.n.01
seabird.n.01	picoides.n.01
work_flow.n.01	defiance.n.03
drive-by_shooting.n.01	ovenbird.n.01
hiring_freeze.n.01	uria.n.01
chrysotherapy.n.01	circularization.n.01
pawn.n.04	spin_the_bottle.n.01
negative_chemotaxis.n.01	passage.n.01
nothosauria.n.01	hide-and-seek.n.01
mesoderm.n.01	indri.n.01
wild-goose_chase.n.01	sacrament.n.01
paprilus.n.01	theoterrorism.n.01
stenography.n.02	hypnoanalysis.n.01
long_division.n.01	bobtail.n.01
logistic_support.n.01	negligence.n.01
claim.n.03	nudibranchia.n.01
horned_chameleon.n.01	laminaria.n.01
thrush_nightingale.n.01	tour.n.01
none.n.02	chairmanship.n.01
skipjack.n.01	manatee.n.01
volumetric_analysis.n.01	cynocephalus_variegatus.n.01
fortification.n.03	skip.n.01
boxer.n.04	mealybug.n.01
bastinado.n.02	detachment.n.02
puff_adder.n.01	ark.n.01
service.n.05	operation.n.03
breakthrough.n.03	tapirus.n.01
western_wood_pewee.n.01	caliphate.n.03
aphis.n.01	walk-through.n.04
seattle_slew.n.01	bombyx.n.01
naturalization.n.03	arc_lamp.n.01
field_trial.n.03	lyre_snake.n.01
confectionery.n.03	vigilantism.n.01
turning.n.02	reptile_genus.n.01
poisoning.n.02	pacific_cod.n.01
change_of_direction.n.01	pup.n.01
cyclopteridae.n.01	transplant.n.03
pseudacris.n.01	fossorial_foot.n.01
roundup.n.01	phaeophyceae.n.01
razor_clam.n.01	pseudopleuronectes.n.01
artamidae.n.01	restriction.n.03
manteodea.n.01	end_run.n.01
tusk.n.02	separationism.n.01
thump.n.02	baize.n.01
reticulitermes.n.01	lead.n.04
pipridae.n.01	evasion.n.03
clark's_nutcracker.n.01	tautogolabrus.n.01
idolization.n.02	gardening.n.01
liver_fluke.n.01	relegation.n.03
microstomus.n.01	disarming.n.01
terrain_flight.n.01	spill.n.04
animation.n.05	play_therapy.n.01
carniolan_bee.n.01	olm.n.01
dicynodontia.n.01	genus_nanomia.n.01
trialeurodes.n.01	spanish_fly.n.01
pacification.n.03	lake_whitefish.n.01
black_bass.n.02	flame_cell.n.01
handling.n.02	wrymouth.n.01
suppressive_fire.n.01	emendation.n.01
california_quail.n.01	bluewing.n.01
aeration.n.02	image_compression.n.01
holothuria.n.01	green_peach_aphid.n.01
base_hit.n.01	tonometry.n.01
cuculiformes.n.01	tennis_lesson.n.01
googly.n.01	zygodactyl_foot.n.01
subvention.n.02	higher_education.n.01
sinanthropus.n.01	walkout.n.02
salvation.n.04	instar.n.01
ovipositor.n.01	plaice.n.02
chapultepec.n.01	permutation.n.03
aphasmidia.n.01	piracy.n.01
hypnotherapy.n.01	entoprocta.n.01
place_kick.n.01	recapitulation.n.04
mecoptera.n.01	supervision.n.01
echo.n.06	golden_mole.n.01
heloderma.n.01	audubon's_warbler.n.01
membracidae.n.01	numenius.n.01
stunt.n.01	stealth.n.01
evening_grosbeak.n.01	isometrics.n.01
serranus.n.01	pyelography.n.01
apparel.n.01	guillemot.n.01
arrowworm.n.01	sand_lance.n.01
world.n.08	mountain_quail.n.01
potoroinae.n.01	iconolatry.n.01
googly.n.01	greyhound.n.01
bloodhound.n.01	fabrication.n.04
antilocapra.n.01	synodontidae.n.01
audubon's_warbler.n.01	white-throated_sparrow.n.01
lymantriidae.n.01	ictonyx.n.01
outrage.n.02	robber_frog.n.02
ramphastidae.n.01	dendroaspis.n.01
deflation.n.03	brittany_spaniel.n.01
royal_national_eisteddfod.n.01	stichaeidae.n.01
ulva.n.01	seizure.n.04
dishonesty.n.02	great_bowerbird.n.01
monochamus.n.01	distribution_channel.n.01
penny_ante.n.01	giant_tortoise.n.01
downshift.n.02	vertical_bank.n.01
risk.n.02	corgi.n.01
air_sac.n.02	denationalization.n.01
telemark.n.01	asp.n.02
statutory_rape.n.01	bar_bit.n.01
naemorhedus.n.01	frosted_bat.n.01
rubber_stamp.n.02	webbed_foot.n.01
alembic.n.01	thripidae.n.01
position.n.06	doddle.n.01
rotational_nystagmus.n.01	sierra.n.02
arctic_ground_squirrel.n.01	apprenticeship.n.01
restitution.n.03	undoing.n.01
scaling.n.02	market_analysis.n.01
hostile_fire.n.01	audubon's_caracara.n.01
brain_surgery.n.01	chlorophyll_d.n.01
flit.n.02	giardia.n.01
laughing_owl.n.01	oyster_fish.n.01
smell.n.05	gallus.n.02
cohabitation.n.01	filling.n.06
dove.n.01	observation.n.01
orycteropodidae.n.01	water_snake.n.01
webworm.n.01	solenopsis.n.01
biped.n.01	fumble.n.01
vicuna.n.03	highland_fling.n.01
california_newt.n.01	hebrew_lesson.n.01
judicial_review.n.01	appian_way.n.01
pounce.n.01	aeolian_harp.n.01
telemark.n.01	basketball_play.n.01
plecotus.n.01	ballistocardiograph.n.01
abortifacient.n.01	gila_monster.n.01
white_rhinoceros.n.01	blackfish.n.02
sensory_deprivation.n.01	chihuahuan_spotted_whiptail.n.01
portuguese_man-of-war.n.01	chinese_checkers.n.01
defoliator.n.01	pin-tailed_sandgrouse.n.01
allocation.n.03	rose_chafer.n.02
streptobacillus.n.01	objection.n.04
boost.n.01	jackal.n.01
plant_closing.n.01	mexican_war.n.01
tarsiidae.n.01	bagger.n.02
cinclus.n.01	capra.n.02
crappie.n.02	plectrophenax.n.01
forward.n.02	obscenity.n.03
campaigning.n.01	pearl_oyster.n.01
katsuwonidae.n.01	pulverization.n.03
micrurus.n.01	cocker_spaniel.n.01
charadriidae.n.01	warble.n.01
cape_buffalo.n.01	dermabrasion.n.01
zebra.n.01	bullock.n.02
breach_of_warranty.n.01	menopon.n.01
fomentation.n.03	breeding.n.04
score.n.10	move.n.02
abnormality.n.04	discipline.n.05
skin_care.n.01	countercoup.n.01
injustice.n.01	standard_schnauzer.n.01
woodlouse.n.01	geotropism.n.01
stoop.n.01	mid-off.n.01
carcase.n.01	mumbling.n.02
mayfly.n.01	breakthrough.n.03
anteater.n.02	delegating.n.01
dall_sheep.n.01	sympathectomy.n.01
kip.n.03	bar_printer.n.01
cannon.n.05	woolly_mammoth.n.01
sciaenops.n.01	callorhinus.n.01
european_curlew.n.01	aspersorium.n.01
urosaurus.n.01	cup_of_tea.n.01
bot.n.01	chicken_louse.n.01
temnospondyli.n.01	synercus.n.01
piping_crow.n.01	autopilot.n.02
psittacidae.n.01	rhizobiaceae.n.01
hominoid.n.01	northern_pike.n.01
ski_jumping.n.01	striped_marlin.n.01
service.n.02	army_cutworm.n.01
barrow.n.03	witching.n.01
sovereign_immunity.n.01	hydrobatidae.n.01
clostridium.n.01	active_matrix_screen.n.01
cuculidae.n.01	herpes_simplex_2.n.01
open-heart_surgery.n.01	keratotomy.n.01
amphibolips.n.01	categorization.n.03
consecration.n.01	paleacrita_vernata.n.01
person.n.01	sporozoite.n.01
orchestration.n.03	raree-show.n.02
leaf_miner.n.01	defecation_reflex.n.01
abbey.n.01	seventeen-year_locust.n.01
automobile_horn.n.01	alcyonaria.n.01
angostura_bridge.n.01	tankage.n.03
vicugna.n.01	balance_wheel.n.01
push.n.05	battle_of_kerbala.n.01
dwarf_sperm_whale.n.01	riposte.n.02
baiting.n.01	ape.n.01
tribalization.n.01	borrelia.n.01
rouge_et_noir.n.01	domestic_silkworm_moth.n.01
trasimeno.n.01	retreat.n.01
attack.n.09	repositioning.n.01
japanese_stranglehold.n.01	equalization.n.01
black_sheep.n.02	rosy_boa.n.01
flip.n.04	special_verdict.n.01
lorica.n.01	validation.n.01
antineoplastic_antibiotic.n.01	ani.n.01
dosimetry.n.01	cover.n.03
cichlid.n.01	throw-in.n.01
oecanthus.n.01	sea_pen.n.01
eurasian_hamster.n.01	russian_bank.n.01
pine_marten.n.01	rebuilding.n.01
trifurcation.n.01	arm_exercise.n.01
almond_moth.n.01	cephalochordate.n.01
backboard.n.01	border_collie.n.01
white-bellied_swallow.n.01	priacanthidae.n.01
sloth_bear.n.01	poeciliidae.n.01
macronectes.n.01	anisotremus.n.01
goose_down.n.01	performance.n.02
silkworm.n.01	enslavement.n.02
welding.n.01	swing.n.03
proctoplasty.n.01	remount.n.01
breach_of_warranty.n.01	corn_dance.n.01
banner.n.01	direct_support.n.01
castration.n.02	by-election.n.01
persecution.n.01	lugworm.n.01
short-horned_grasshopper.n.01	recusation.n.02
epidural_injection.n.01	salamandridae.n.01
northern_shrike.n.01	ruddy_duck.n.01
shoeshine.n.02	requital.n.02
finding.n.02	common_murre.n.01
otis.n.02	forewing.n.01
phoeniculidae.n.01	management_control.n.01
semester_hour.n.01	california_quail.n.01
run.n.06	promiscuity.n.01
physician-assisted_suicide.n.01	electronic_deception.n.01
audiometry.n.02	stonewort.n.01
stem-cell_research.n.01	spyeria.n.01
experiment.n.03	diving_duck.n.01
post_office.n.03	skedaddle.n.01
ball_game.n.01	serotine.n.01
pachisi.n.01	bassariscidae.n.01
testudo.n.02	hackle.n.01
imprisonment.n.01	aquatic_mammal.n.01
western_whiptail.n.01	new_world_chat.n.01
american_badger.n.01	stirring.n.01
phyllostomidae.n.01	drilling.n.01
gadfly.n.02	acheta.n.01
stone_curlew.n.01	woodpecker.n.01
termitidae.n.01	agitation.n.04
heliothis.n.01	sexism.n.01
resale.n.01	spiny_puffer.n.01
pinch.n.06	incision.n.02
fossilization.n.02	leptodactylidae.n.01
homosexuality.n.01	gastrophryne.n.01
ecarte.n.01	pinto.n.01
physeteridae.n.01	nudism.n.01
armyworm.n.03	disfranchisement.n.01
neotoma.n.01	auto_racing.n.01
slow_virus.n.01	circus.n.06
flexion.n.03	spontaneous_abortion.n.01
bull's_eye.n.01	wombat.n.01
marengo.n.01	porphyrio.n.01
gadoid.n.01	kanchil.n.01
phrasing.n.01	wood_tick.n.01
sacrifice.n.05	scaphiopus.n.01
trotting_horse.n.01	matrix_operation.n.01
heterodon.n.01	great_barracuda.n.01
alienation.n.04	pedophilia.n.01
tayra.n.01	mime.n.02
back.n.07	paracheirodon.n.01
smashing.n.01	himantopus.n.01
enteric_bacteria.n.01	ovipositor.n.01
covert_operation.n.01	space_walk.n.01
mintage.n.03	kalotermitidae.n.01
alembic.n.01	centriscidae.n.01
giant_panda.n.01	order_myxobacteria.n.01
taeniidae.n.01	reassembly.n.01
mylodontid.n.01	clearance.n.03
backgammon_board.n.01	lizardfish.n.01
english_revolution.n.01	antiviral.n.01
comparison.n.01	rottweiler.n.01
lule_burgas.n.01	groundfish.n.01
kingfisher.n.01	turbellaria.n.01
snakebird.n.01	calliphora.n.01
seward's_folly.n.01	common_wasp.n.01
lever_hang.n.01	spot_welding.n.01
quality_control.n.01	activity.n.01
march.n.03	round-the-clock_patrol.n.01
moral_obligation.n.01	suborder_ceratosaura.n.01
food_fish.n.01	tropidoclonion.n.01
carving.n.02	stretching.n.01
sarcoptes.n.01	reward.n.03
acebutolol.n.01	rescue_operation.n.01
branchiopod_crustacean.n.01	hecatomb.n.01
protozoa.n.01	fan_dance.n.01
profanation.n.01	eleutherodactylus.n.01
recoding.n.01	abduction.n.01
discord.n.04	stare.n.01
casting.n.04	fling.n.03
radar_fire.n.01	hypnoanalysis.n.01
octopus.n.02	water_dog.n.02
cyclopes.n.01	phocoena.n.01
chelifer.n.01	scincus.n.01
slider.n.04	mecopteran.n.01
chalcostigma.n.01	tabulation.n.02
deepwater_squirrelfish.n.01	palaemon.n.01
self-preservation.n.01	teeoff.n.01
backsliding.n.01	lepomis.n.01
air_travel.n.01	transposition.n.05
balloon_sail.n.01	pomacanthus.n.01
clumber.n.01	aisle.n.01
courlan.n.01	cynopterus_sphinx.n.01
ostreidae.n.01	dabchick.n.01
anhima.n.01	isopoda.n.01
road_show.n.01	myrmecophile.n.01
langside.n.01	absence.n.02
buck.n.05	ice_skating.n.01
old_world_beaver.n.01	electric_shock.n.03
debridement.n.01	abomasum.n.01
sterninae.n.01	genus_aegyptopithecus.n.01
flight_control.n.01	parasitic_jaeger.n.01
passenger_pigeon.n.01	brown_lacewing.n.01
counterbattery_fire.n.01	essay.n.02
resistance.n.04	noctuid_moth.n.01
fulmar.n.01	governorship.n.01
toke.n.01	crangonidae.n.01
ctenocephalides.n.01	opah.n.01
timber_wolf.n.01	gastronomy.n.02
chemical_analysis.n.01	maximization.n.01
perversion.n.02	sea_swallow.n.01
poephila.n.01	yorktown.n.02
insurgency.n.01	scallop_shell.n.01
sexual_conquest.n.01	hack.n.08
hat_trick.n.01	mud_dauber.n.01
observation.n.02	mission.n.04
outrage.n.02	bag.n.04
slider.n.04	close_supporting_fire.n.01
vasoconstriction.n.01	cestida.n.01
alderfly.n.01	common_brant_goose.n.01
birch_leaf_miner.n.01	anamorphosis.n.02
micturition_reflex.n.01	solution.n.05
aversion.n.02	investigation.n.02
synaptomys.n.01	bowdlerism.n.01
fitting.n.04	bandoleer.n.01
sand_lizard.n.01	lifesaving.n.01
exercise.n.01	astrolatry.n.01
lucy.n.01	varmint.n.02
rock_hopper.n.01	alpine_salamander.n.01
