agitation.n.05	shaking.n.01
change_of_color.n.01	whitening.n.01
assignment.n.01	mission.n.03
carpentry.n.01	cabinetmaking.n.01
bird_family.n.01	fringillidae.n.01
shrinking.n.02	miniaturization.n.01
service.n.03	church_service.n.01
amphibious_assault.n.01	iwo.n.01
surveillance.n.01	surveillance_of_disease.n.01
operation.n.05	operation_desert_storm.n.01
stage_dancing.n.01	bolero.n.03
filling.n.06	saturation.n.02
vote.n.01	write-in.n.02
change.n.03	change_of_shape.n.01
animal_order.n.01	madreporaria.n.01
position.n.06	precentorship.n.01
swindle.n.01	shell_game.n.01
fight.n.02	brawl.n.02
court_game.n.01	netball.n.01
bird_genus.n.01	piranga.n.01
dating.n.01	potassium-argon_dating.n.01
completion.n.02	follow-through.n.02
music_lesson.n.01	piano_lesson.n.01
prairie_chicken.n.01	greater_prairie_chicken.n.01
murder.n.01	contract_killing.n.01
spin.n.02	pirouette.n.01
parakeet.n.01	carolina_parakeet.n.01
feeding.n.02	overfeeding.n.01
locomotion.n.02	jog.n.02
reptile_genus.n.01	bungarus.n.01
bird_genus.n.01	serinus.n.01
eubacteria.n.01	myxobacteria.n.01
bacteria_genus.n.01	rhizobium.n.01
running.n.04	administrivia.n.01
bird_genus.n.01	pinicola.n.01
eisteddfod.n.01	royal_national_eisteddfod.n.01
therapy.n.01	refrigeration.n.02
test.n.05	clinical_trial.n.01
worm_genus.n.01	ascaridia.n.01
auscultation.n.01	percussion.n.04
trade.n.02	interior_decoration.n.02
child's_game.n.01	jackstraws.n.01
pause.n.02	freeze.n.03
activity.n.01	operation.n.03
marsupial.n.01	opossum_rat.n.01
amphibian_family.n.01	ambystomatidae.n.01
water_travel.n.01	sailing.n.02
ornithischian.n.01	staurikosaur.n.01
dancing.n.01	nautch.n.01
festival.n.02	jazz_festival.n.01
perversion.n.02	oral_sex.n.01
activity.n.01	occupation.n.03
motion.n.06	swing.n.04
reaction.n.03	passage.n.08
departure.n.01	takeoff.n.01
warbler.n.02	new_world_warbler.n.01
operation.n.03	rescue_operation.n.01
change_of_state.n.01	worsening.n.02
war.n.01	spanish-american_war.n.01
new_world_sparrow.n.01	tree_sparrow.n.02
bird_family.n.01	todidae.n.01
arthropod_genus.n.01	mastigoproctus.n.01
drawing.n.03	pyrography.n.01
acquisition.n.01	inheritance.n.01
diversion.n.01	escapade.n.02
reflex.n.01	pharyngeal_reflex.n.01
mathematical_process.n.01	permutation.n.02
fish_genus.n.01	carcharhinus.n.01
effort.n.02	struggle.n.03
perversion.n.02	sodomy.n.01
appointment.n.01	delegacy.n.03
breathing.n.01	hyperpnea.n.01
exposure.n.02	overexposure.n.02
pretense.n.01	make-believe.n.02
shrike.n.01	migrant_shrike.n.01
dishonesty.n.02	trick.n.03
motion.n.03	eurythmy.n.01
maneuver.n.04	footwork.n.02
field_game.n.01	hurling.n.01
jay.n.02	canada_jay.n.01
piciform_bird.n.01	jacamar.n.01
beginning.n.05	attack.n.06
murder.n.01	parricide.n.02
interior_decoration.n.02	furnishing.n.03
spider.n.01	black_and_gold_garden_spider.n.01
animal_order.n.01	dinornithiformes.n.01
reconnaissance.n.01	shufti.n.01
peafowl.n.01	green_peafowl.n.01
animal.n.01	pleurodont.n.01
contact.n.02	snick.n.02
wrongdoing.n.02	malpractice.n.02
reptile_genus.n.01	saurosuchus.n.01
authorization.n.04	commission.n.03
stage_dancing.n.01	nude_dancing.n.01
hybridization.n.01	monohybrid_cross.n.01
worship.n.01	astrolatry.n.01
bird_family.n.01	tinamidae.n.01
bird_family.n.01	psittacidae.n.01
imposition.n.01	reimposition.n.01
representation.n.10	pictorial_representation.n.01
change.n.03	motion.n.06
position.n.06	premiership.n.01
borrowing.n.01	naturalization.n.04
shrike.n.01	loggerhead_shrike.n.01
sporozoan.n.01	haemosporidian.n.01
stopping.n.02	double_stopping.n.01
finch.n.01	chaffinch.n.01
religious_ceremony.n.01	agape.n.03
ablation.n.01	clitoridectomy.n.01
arthropod_family.n.01	argiopidae.n.01
technology.n.01	communications_technology.n.01
fish_genus.n.01	raja.n.02
harassment.n.02	witch-hunt.n.01
adjustment.n.03	collimation.n.01
effort.n.02	overkill.n.02
campaign.n.02	charm_campaign.n.01
review.n.08	judicial_review.n.01
colubrid_snake.n.01	ringneck_snake.n.01
imprisonment.n.03	lockdown.n.01
leg_exercise.n.01	leg_curl.n.01
tying.n.01	ligation.n.01
behavior.n.01	aggression.n.05
elapid.n.01	tiger_snake.n.01
field_game.n.01	ultimate_frisbee.n.01
action.n.01	reverence.n.03
blow.n.01	shot.n.14
centesis.n.01	arthrocentesis.n.01
deception.n.02	obscurantism.n.02
bunting.n.02	ortolan.n.01
plundering.n.01	ravaging.n.01
expulsion.n.03	coughing_up.n.01
bird_genus.n.01	aythya.n.01
embryonic_tissue.n.01	germ_layer.n.01
animal_order.n.01	insessores.n.01
bacteria_genus.n.01	genus_borrelia.n.01
sensing.n.02	listening.n.01
salamander.n.01	newt.n.01
bird_genus.n.01	strix.n.01
crime.n.01	barratry.n.04
ameba.n.01	endameba.n.01
amphibian_family.n.01	discoglossidae.n.01
fish_genus.n.01	rhincodon.n.01
reflex.n.01	blush.n.02
cypriniform_fish.n.01	catostomid.n.01
escape.n.01	underground_railroad.n.01
bird_family.n.01	coraciidae.n.01
ritual.n.01	betrothal.n.02
throw.n.01	shy.n.01
transportation.n.02	resettlement.n.01
hair.n.06	bristle.n.02
moloch.n.03	mountain_devil.n.02
blend.n.03	homogenization.n.01
animal.n.01	chordate.n.01
jawless_vertebrate.n.01	lamprey.n.01
animal_order.n.01	psittaciformes.n.01
speed.n.03	acceleration.n.02
organism.n.01	person.n.01
work.n.01	housewifery.n.01
backhand.n.01	two-handed_backhand.n.01
mistake.n.01	ballup.n.01
choice.n.02	vote.n.01
therapy.n.01	phytotherapy.n.01
dereliction.n.02	nonfeasance.n.01
production.n.07	sericulture.n.02
imitation.n.03	emulation.n.03
writing.n.05	notation.n.03
abandonment.n.01	exposure.n.10
management.n.01	supervision.n.01
ritual_dancing.n.01	ghost_dance.n.01
requiem_shark.n.01	sandbar_shark.n.02
look.n.02	peek.n.01
reptile_genus.n.01	genus_diplodocus.n.01
football_play.n.01	run.n.05
worm_genus.n.01	schistosoma.n.01
injury.n.05	wrong.n.02
sawfish.n.01	smalltooth_sawfish.n.01
shuffle.n.01	riffle.n.02
fish_genus.n.01	jordanella.n.01
sacrament.n.01	baptism.n.01
alteration.n.02	tune.n.03
bird_genus.n.01	dromaius.n.01
arrangement.n.06	orchestration.n.02
means.n.01	wings.n.01
tunicate.n.01	larvacean.n.01
manslaughter.n.01	chance-medley.n.01
vote.n.01	block_vote.n.01
payment.n.02	remuneration.n.02
progress.n.02	career.n.02
corporal_punishment.n.01	stoning.n.01
bird_genus.n.01	anas.n.01
chemical_analysis.n.01	quantitative_analysis.n.01
fish_genus.n.01	carcharodon.n.01
shrew.n.02	masked_shrew.n.01
accomplishment.n.01	base_on_balls.n.01
bending.n.03	crouch.n.01
collection.n.04	bottle_collection.n.02
relief.n.05	mercy.n.05
singing.n.01	yodeling.n.01
division.n.03	schism.n.01
spadefoot.n.01	plains_spadefoot.n.01
swindle.n.01	pyramiding.n.01
social_dancing.n.01	tarantella.n.02
fastening.n.02	fixation.n.03
worship.n.01	deification.n.03
measurement.n.01	sounding.n.02
compromise_verdict.n.01	quotient_verdict.n.01
nematode.n.01	guinea_worm.n.02
disinfection.n.01	chlorination.n.02
court_game.n.01	squash.n.03
reflex.n.01	vomit.n.03
practice.n.01	one-upmanship.n.01
dive.n.02	swan_dive.n.01
hijack.n.01	carjacking.n.01
sport.n.01	blood_sport.n.01
presentation.n.02	performance.n.02
animal_order.n.01	actinomycetales.n.01
reaction.n.03	taxis.n.01
dismissal.n.04	removal.n.02
arousal.n.01	inflammation.n.03
collection.n.04	tax_collection.n.01
strike.n.01	sit-down.n.01
hit.n.02	crash.n.04
therapy.n.01	speech_therapy.n.01
acting.n.01	skit.n.01
reptile_genus.n.01	genus_staurikosaurus.n.01
assault.n.02	mugging.n.01
bird_family.n.01	falconidae.n.01
worm_genus.n.01	genus_spadella.n.01
steering.n.02	navigation.n.01
fraud.n.01	identity_theft.n.01
decrease.n.04	extenuation.n.02
dancing.n.01	pas_de_trois.n.01
measurement.n.01	sound_ranging.n.01
act.n.02	propulsion.n.02
sensing.n.02	lipreading.n.01
shark.n.01	sand_tiger.n.01
operation.n.06	transplant.n.02
cleaning.n.01	disinfestation.n.01
true_toad.n.01	bufo.n.01
animal_virus.n.01	reovirus.n.01
administration.n.01	organization.n.04
dory.n.03	john_dory.n.01
teaching.n.01	language_teaching.n.01
eye_operation.n.01	keratotomy.n.01
examination.n.01	search.n.05
coelenterate_genus.n.01	sertularia.n.01
embezzlement.n.01	plunderage.n.01
economy.n.04	retrenchment.n.02
protoctist_order.n.01	charales.n.01
baseball.n.01	four-hitter.n.01
realization.n.02	objectification.n.01
blunder.n.01	clanger.n.01
cohabitation.n.01	concubinage.n.01
expansion.n.01	dilation.n.02
contempt_of_court.n.01	civil_contempt.n.01
oral_sex.n.01	cunnilingus.n.01
lorikeet.n.01	rainbow_lorikeet.n.01
measurement.n.01	cephalometry.n.01
pitched_battle.n.01	rossbach.n.01
protoctist_family.n.01	gigartinaceae.n.01
scrub.n.02	swabbing.n.01
reptile_genus.n.01	pseudemys.n.01
hen.n.01	mother_hen.n.02
landing.n.04	debarkation.n.01
dealings.n.01	relation.n.06
boxing.n.01	spar.n.03
work.n.01	job.n.06
restraint.n.01	suppression.n.02
measurement.n.01	seismography.n.01
influence.n.02	impingement.n.01
kinglet.n.01	ruby-crowned_kinglet.n.01
animal_order.n.01	cyclostomata.n.01
worsening.n.02	downturn.n.01
bird_genus.n.01	hylophylax.n.01
skin_diving.n.01	snorkeling.n.01
germ_layer.n.01	mesoderm.n.01
return.n.11	backhand.n.01
terrorism.n.01	chemical_terrorism.n.01
adjustment.n.03	temperament.n.03
weaver.n.02	java_sparrow.n.01
pheasant.n.01	afropavo.n.01
torture.n.05	strappado.n.01
gait.n.03	skip.n.01
music.n.03	instrumental_music.n.02
endoscopy.n.01	culdoscopy.n.01
pigeon.n.01	passenger_pigeon.n.01
cloning.n.01	reproductive_cloning.n.01
projective_test.n.01	thematic_apperception_test.n.01
pitched_battle.n.01	philippi.n.02
travel.n.01	on_the_road.n.01
sandgrouse.n.01	pin-tailed_sandgrouse.n.01
spirochete.n.01	treponema.n.01
convergence.n.04	merging.n.01
bird_genus.n.01	coracias.n.01
requiem_shark.n.01	bull_shark.n.01
ambystomid.n.01	spotted_salamander.n.01
union.n.11	reunion.n.02
game_of_chance.n.01	fantan.n.01
giving.n.01	charity.n.03
enteric_bacteria.n.01	shigella.n.01
fish_genus.n.01	genus_chimaera.n.01
reptile_genus.n.01	genus_agama.n.01
arbovirus.n.01	flaviviridae.n.01
joining.n.01	concatenation.n.04
shark.n.01	thresher.n.02
liberation.n.01	emancipation.n.01
arousal.n.01	awakening.n.01
casting.n.03	surf_casting.n.01
abrogation.n.01	revocation.n.02
push.n.01	shove.n.01
immune_response.n.01	cell-mediated_immune_response.n.01
blow.n.01	swing.n.03
progress.n.02	push.n.05
hunt.n.08	pigsticking.n.01
operation.n.06	amputation.n.02
record.n.06	track_record.n.01
protozoan.n.01	rhizopod.n.01
arenavirus.n.01	lymphocytic_choriomeningitis_virus.n.01
bird_family.n.01	musophagidae.n.01
analysis.n.01	case_study.n.02
game.n.03	prisoner's_base.n.01
bird_genus.n.01	sphyrapicus.n.01
reptile_genus.n.01	cordylus.n.01
anthozoan.n.01	sea_pen.n.01
coelenterate.n.01	anthozoan.n.01
battle.n.01	assault.n.01
ctenophore_genus.n.01	pleurobrachia.n.01
protoctist_order.n.01	volvocales.n.01
woodpecker.n.01	sapsucker.n.01
abstraction.n.06	relation.n.01
jawless_vertebrate.n.01	cyclostome.n.01
fraud.n.01	extrinsic_fraud.n.01
motion.n.06	slide.n.05
contest.n.02	bidding_contest.n.01
creating_by_mental_acts.n.01	formation.n.07
animal_order.n.01	aepyorniformes.n.01
ejection.n.02	ostracism.n.02
wren.n.02	winter_wren.n.01
travel.n.01	traversal.n.02
grouse.n.02	sage_grouse.n.01
cooperation.n.01	conformity.n.02
bird_family.n.01	phoeniculidae.n.01
homosexuality.n.01	lesbianism.n.01
amphibian_genus.n.01	genus_bufo.n.01
motion.n.03	sitting.n.01
protoctist_genus.n.01	ascophyllum.n.01
child's_game.n.01	jacks.n.01
baseball.n.01	no-hit_game.n.01
bowling.n.02	chinaman.n.02
passerine.n.01	lyrebird.n.01
maneuver.n.03	safety_blitz.n.01
replacement.n.01	supersedure.n.01
dancing.n.01	skank.n.02
beginning.n.05	face-off.n.02
control.n.05	traffic_control.n.01
animal_order.n.01	hypermastigina.n.01
baseball.n.01	steal.n.02
education.n.01	continuing_education.n.01
group_action.n.01	rally.n.05
delivery.n.01	service.n.13
affixation.n.02	prefixation.n.01
military_censorship.n.01	prisoner_of_war_censorship.n.01
teaching.n.01	spoonfeeding.n.02
completion.n.02	follow-through.n.01
planning.n.02	city_planning.n.01
pursuit.n.01	stalk.n.04
microorganism.n.01	moneran.n.01
separation.n.05	separationism.n.01
anseriform_bird.n.01	duck.n.01
field_game.n.01	field_hockey.n.01
squirrelfish.n.02	soldierfish.n.01
attack.n.01	ground_attack.n.01
animal_virus.n.01	myxovirus.n.01
medical_care.n.01	aftercare.n.01
fish_family.n.01	myliobatidae.n.01
killing.n.02	dispatch.n.04
protoctist_family.n.01	characeae.n.01
demonstration.n.03	boston_tea_party.n.01
management.n.01	treatment.n.02
teal.n.02	bluewing.n.01
travel.n.01	water_travel.n.01
amphibious_assault.n.01	battle_of_wake.n.01
position.n.06	chairmanship.n.01
diagnosis.n.01	blood_typing.n.01
course.n.01	elective_course.n.01
rat_kangaroo.n.01	jerboa_kangaroo.n.01
sexual_activity.n.01	foreplay.n.01
psychosurgery.n.01	callosotomy.n.01
bacteria_genus.n.01	pseudomonas.n.01
homosexuality.n.01	inversion.n.07
riding.n.01	pony-trekking.n.01
examination.n.01	inspection.n.01
bird_of_prey.n.01	accipitriformes.n.01
activity.n.01	sin.n.06
service.n.03	prayer_meeting.n.01
vote.n.02	election.n.01
child's_game.n.01	jump_rope.n.02
arachnid.n.01	scorpion.n.03
position.n.06	rulership.n.01
new_world_blackbird.n.01	grackle.n.02
management.n.01	disenfranchisement.n.01
parrot.n.01	lory.n.01
mammal_genus.n.01	blarina.n.01
vibrio.n.01	comma_bacillus.n.01
marketing.n.02	distribution_channel.n.01
immune_response.n.01	humoral_immune_response.n.01
division.n.03	word_division.n.01
plastic_surgery.n.01	abdominoplasty.n.01
spiny_dogfish.n.01	pacific_spiny_dogfish.n.01
preparation.n.01	planning.n.01
anthozoan.n.01	coral.n.04
reptile_family.n.01	ichthyosauridae.n.01
military_training.n.01	basic_training.n.01
stare.n.01	gaze.n.01
spiny_lizard.n.02	sagebrush_lizard.n.01
operation.n.05	psychological_operation.n.01
undertaking.n.01	proposition.n.05
therapy.n.01	aromatherapy.n.01
arousal.n.01	inspiration.n.05
teiid_lizard.n.01	whiptail.n.01
twist.n.13	twiddle.n.01
preservation.n.01	self-preservation.n.01
oscine.n.01	creeper.n.03
disturbance.n.05	circus.n.03
comb.n.05	comb-out.n.01
fish_genus.n.01	isurus.n.01
bird_genus.n.01	odontophorus.n.01
riding.n.01	equestrian_sport.n.01
proceeding.n.01	trial.n.04
reptile_genus.n.01	scincella.n.01
position.n.06	viceroyship.n.01
decision.n.01	move.n.01
eye_operation.n.01	filtration_surgery.n.01
programming.n.02	logic_programming.n.02
board_game.n.01	shovel_board.n.01
measurement.n.01	quantitative_analysis.n.01
measurement.n.01	sampling.n.03
fish_genus.n.01	gambusia.n.01
assisted_suicide.n.01	physician-assisted_suicide.n.01
single.n.01	line-drive_single.n.01
selling.n.01	private_treaty.n.01
coordination.n.02	proration.n.01
cooking.n.01	broil.n.01
animal_order.n.01	gorgonacea.n.01
sale.n.03	bazaar.n.03
elapid.n.01	copperhead.n.02
lory.n.01	lorikeet.n.01
bowling.n.01	candlepins.n.01
construction.n.01	grading.n.02
assignment.n.01	fatigue_duty.n.01
cricket_frog.n.01	eastern_cricket_frog.n.01
change_of_shape.n.01	convolution.n.03
acquisition.n.01	procurement.n.01
eye_operation.n.01	cyclodestructive_surgery.n.01
residency.n.01	lodging.n.03
bird_genus.n.01	psittacula.n.01
examination.n.01	time_and_motion_study.n.01
sleeping.n.03	sleepwalking.n.01
forced_feeding.n.01	gastrogavage.n.01
removal.n.01	elimination.n.01
means.n.01	salvation.n.02
exercise.n.03	manual_of_arms.n.01
marsupial.n.01	wombat.n.01
practice.n.01	formalism.n.03
celebration.n.02	feria.n.02
oscine.n.01	water_ouzel.n.01
therapy.n.01	megavitamin_therapy.n.01
motion.n.03	snap.n.12
trade.n.01	fair_trade.n.02
throw.n.01	pitch.n.10
operation.n.06	rhinotomy.n.01
ablation.n.01	stapedectomy.n.01
swallow.n.03	martin.n.05
change_of_color.n.01	discoloration.n.02
python.n.01	amethystine_python.n.01
adjustment.n.03	voicing.n.01
piciform_bird.n.01	puffbird.n.01
solitaire.n.04	klondike.n.02
pitched_battle.n.01	el_alamein.n.02
sport.n.02	sumo.n.01
parrot.n.01	kea.n.01
new_world_blackbird.n.01	rusty_blackbird.n.01
mammal_family.n.01	caenolestidae.n.01
banishment.n.02	rustication.n.05
return.n.11	overhead.n.06
green_algae.n.01	sea_lettuce.n.01
protective_covering.n.02	clypeus.n.01
delay.n.02	demurrage.n.02
killing.n.02	homicide.n.01
destruction.n.01	self-destruction.n.02
employment.n.03	shape-up.n.01
conscription.n.01	levy.n.02
freeze.n.04	price_freeze.n.01
education.n.01	coeducation.n.01
examination.n.01	comparison.n.01
microscopy.n.01	fluorescence_microscopy.n.01
oscine.n.01	waxwing.n.01
fight.n.02	brush.n.06
increase.n.05	intensification.n.02
consulting_service.n.01	attestation_service.n.01
amphibian_genus.n.01	pternohyla.n.01
young_mammal.n.01	baby.n.06
amphibian_genus.n.01	scaphiopus.n.01
crow.n.01	american_crow.n.01
lizard.n.01	agamid.n.01
pretense.n.01	appearance.n.06
lap.n.05	pace_lap.n.01
preservation.n.01	immobilization.n.01
landing.n.03	splashdown.n.01
improvement.n.02	stabilization.n.02
action.n.01	arrival.n.02
application.n.03	lubrication.n.02
mobilization.n.02	economic_mobilization.n.01
license.n.04	dispensation.n.01
chemotherapy.n.01	chrysotherapy.n.01
cut.n.18	trim.n.04
bird_genus.n.01	prinia.n.01
arthropod_genus.n.01	trombicula.n.01
lawsuit.n.01	class_action.n.01
treatment.n.01	modality.n.04
reptile_genus.n.01	genus_dimetrodon.n.01
operation.n.06	eye_operation.n.01
grouse.n.02	capercaillie.n.01
bird_genus.n.01	bucephala.n.01
degradation.n.01	popularization.n.02
animal_order.n.01	scorpionida.n.01
medicine.n.03	preventive_medicine.n.01
requiem_shark.n.01	blue_shark.n.01
obstruction.n.04	obstruction_of_justice.n.01
protoctist_genus.n.01	genus_spirogyra.n.01
mammal_genus.n.01	bettongia.n.01
delivery.n.01	airdrop.n.01
siege.n.01	lucknow.n.02
absence.n.02	absenteeism.n.01
elapid.n.01	ringhals.n.01
fraud.n.01	constructive_fraud.n.01
gecko.n.01	banded_gecko.n.01
pigeon.n.01	wood_pigeon.n.01
motion.n.06	pursuit.n.01
kangaroo.n.01	wallaby.n.01
transportation.n.05	hauling.n.01
back.n.09	tailback.n.02
implementation.n.02	means.n.01
reptile_genus.n.01	terrapene.n.01
excitation.n.03	hair-raiser.n.01
ablation.n.01	adenoidectomy.n.01
ablation.n.01	adrenalectomy.n.01
table_game.n.01	bagatelle.n.03
change.n.03	change_of_state.n.01
ambystomid.n.01	mole_salamander.n.01
bird_family.n.01	eurylaimidae.n.01
mako.n.01	longfin_mako.n.01
conversion.n.09	afforestation.n.01
position.n.06	admiralty.n.02
paramyxovirus.n.01	respiratory_syncytial_virus.n.01
position.n.06	curacy.n.01
medical_care.n.01	hospitalization.n.04
leadership.n.01	helm.n.02
counterfire.n.01	counterbombardment.n.01
colubrid_snake.n.01	indigo_snake.n.01
change_of_shape.n.01	elongation.n.03
appointment.n.01	recognition.n.08
operation.n.06	wrong-site_surgery.n.01
phytoplankton.n.01	diatom.n.01
teaching.n.01	catechetical_instruction.n.01
termination.n.05	dissolution.n.05
green_snake.n.02	smooth_green_snake.n.01
eubacteria.n.01	spirillum.n.01
care.n.01	treatment.n.01
determination.n.01	resolution.n.04
arachnid.n.01	spider.n.01
destruction.n.01	kill.n.02
investigation.n.02	empiricism.n.02
robbery.n.01	dacoity.n.01
sledding.n.01	bobsledding.n.01
breakage.n.03	fracture.n.03
bird.n.01	sinornis.n.01
matter.n.03	substance.n.07
consummation.n.02	fulfillment.n.02
manual_labor.n.01	picking.n.02
group_action.n.01	disestablishment.n.01
position.n.09	forward.n.02
singing.n.01	scat.n.01
course.n.01	shop_class.n.01
course.n.01	directed_study.n.01
construction.n.01	fabrication.n.04
organization.n.06	territorialization.n.01
sexual_activity.n.01	reproduction.n.05
legal_action.n.01	prosecution.n.01
gait.n.03	roll.n.13
duck.n.01	ruddy_duck.n.01
protective_covering.n.02	armor.n.03
devotion.n.02	fetish.n.03
maniraptor.n.01	deinonychus.n.01
animal_virus.n.01	poxvirus.n.01
plundering.n.01	banditry.n.01
vigil.n.02	wake.n.04
occupation.n.01	trade.n.02
protozoan.n.01	plantlike_flagellate.n.01
cephalochordate.n.01	lancelet.n.01
position.n.06	chancellorship.n.01
advertising.n.02	soft_sell.n.01
throw.n.01	slinging.n.01
decoration.n.03	adornment.n.02
larceny.n.01	pilferage.n.01
bird_genus.n.01	asio.n.01
intervention.n.01	mediation.n.02
rearrangement.n.01	transposition.n.05
rest.n.02	quiescence.n.02
push.n.01	boost.n.03
foray.n.01	air_raid.n.01
egg.n.01	nit.n.02
vote.n.02	referendum.n.01
incorporation.n.03	annexation.n.01
bird.n.01	apodiform_bird.n.01
